departure_spot_id,sight_seeing_spot_id,departure_spot_name,sight_seeing_spot_name,distance,time,fee
0,258,東京駅,道の駅　開国下田みなと,191153,180,4100.0
0,259,東京駅,乃木神社,4720,18,0
0,260,東京駅,スパ＆ホテル　舞浜ユーラシア（日帰り入浴）,18085,30,550.0
0,261,東京駅,伊豆アニマルキングダム,174808,175,3650.0
0,262,東京駅,建長寺,62001,80,2170.0
0,263,東京駅,千葉ポートタワー,39931,60,960.0
0,264,東京駅,光が丘公園,20954,39,620.0
0,265,東京駅,八芳園,6735,23,0
0,266,東京駅,道の駅　天城越え,162703,142,4100.0
0,267,東京駅,大間崎,821111,632,10590.0
0,268,東京駅,道の駅　なみおか,701871,484,10610.0
0,269,東京駅,円覚寺,55244,81,1570.0
0,270,東京駅,松本市美術館,228958,176,5800.0
0,271,東京駅,東京都庭園美術館,8108,26,0
0,272,東京駅,臨港パーク,33417,45,1140.0
0,273,東京駅,道の駅　裏磐梯,302083,233,6880.0
0,274,東京駅,高田城址公園,313011,232,7860.0
0,275,東京駅,県立幕張海浜公園,34811,44,1280.0
0,276,東京駅,霞ヶ浦総合公園,69756,72,2260.0
0,277,東京駅,象の鼻パーク,35543,47,1230.0
0,278,東京駅,大慶園遊園地,25298,48,600.0
0,279,東京駅,小諸城址懐古園,195098,151,5620.0
0,280,東京駅,道の駅 湧水の郷しおや,153285,132,4160.0
0,281,東京駅,道の駅　湧水の郷　しおや,153285,132,4160.0
0,282,東京駅,秋川渓谷　瀬音の湯（日帰り入浴）,71918,83,1610.0
0,283,東京駅,仙台アンパンマンこどもミュージアム＆モール,368330,269,8500.0
0,284,東京駅,秋保大滝,378373,283,8400.0
0,285,東京駅,立佞武多の館,716492,501,10610.0
0,286,東京駅,諏訪大社下社春宮,210804,160,5350.0
0,287,東京駅,栃木県なかがわ水遊園,174550,152,4400.0
0,288,東京駅,キッザニア東京,5127,18,0
0,289,東京駅,庄内観光物産館　ふるさと本舗,471882,344,10420.0
0,290,東京駅,県立辻堂海浜公園,69593,75,2270.0
0,291,東京駅,碓氷峠鉄道文化むら,152496,123,4720.0
0,292,東京駅,秋田ふるさと村　Ｋａｍａｋｕｌａｎｄ,543723,386,8580.0
0,293,東京駅,青森県営浅虫水族館,731476,512,10960.0
0,294,東京駅,東照宮,4570,18,0
0,295,東京駅,八木山動物公園フジサキの杜,353813,275,8710.0
0,296,東京駅,気仙沼「海の市」,464490,370,9580.0
0,297,東京駅,丸沼高原スキー場,195729,170,4920.0
0,298,東京駅,雨引観音,132409,113,3900.0
0,299,東京駅,昭和レトロな温泉銭湯　玉川温泉,83481,87,2760.0
0,300,東京駅,男鹿水族館　ＧＡＯ,666052,493,9820.0
0,301,東京駅,芸術の森公園,111742,97,3410.0
0,302,東京駅,サンメドウズ清里スキー場,173169,141,4420.0
0,303,東京駅,津軽藩ねぷた村,685512,485,10330.0
0,304,東京駅,道の駅　うみてらす名立,327673,238,8160.0
0,305,東京駅,茨城県立カシマサッカースタジアム,106617,95,3280.0
0,306,東京駅,ロックハート城,166482,139,4810.0
0,307,東京駅,千畳敷カール,250373,191,6040.0
0,308,東京駅,ルミネ　ｔｈｅ　よしもと,7303,23,0
0,309,東京駅,ハンターマウンテン塩原,196215,164,4780.0
0,310,東京駅,道の駅　オアシスおぶせ,251394,194,6660.0
0,311,東京駅,千波公園,116289,107,3430.0
0,312,東京駅,道の駅ちくら・潮風王国,114821,112,3390.0
0,313,東京駅,道の駅　ちくら・潮風王国,114821,112,3390.0
0,314,東京駅,盛岡八幡宮,542504,388,8510.0
0,315,東京駅,道の駅　ばんだい,291639,212,7140.0
0,316,東京駅,男鹿真山伝承館,655191,480,9820.0
0,317,東京駅,伊豆山神社,103876,105,2860.0
0,318,東京駅,もみじ谷大吊橋,176683,139,4780.0
0,319,東京駅,酒列磯前神社,128540,106,4080.0
0,320,東京駅,館鼻岸壁朝市,674388,481,10120.0
0,321,東京駅,市立相模原麻溝公園,47087,66,1410.0
0,322,東京駅,道の駅　鳥海,511631,378,11100.0
0,323,東京駅,白樺リゾート池の平ファミリーランド,203480,169,4840.0
0,324,東京駅,蕪島,675042,483,10120.0
0,325,東京駅,熱川バナナワニ園,167862,166,3650.0
0,326,東京駅,いばらきフラワーパーク,82589,79,2470.0
0,327,東京駅,道の駅　伊豆のへそ,142120,121,3900.0
0,328,東京駅,羽田空港第１・第２旅客ターミナル　展望デッキ,20023,26,650.0
0,329,東京駅,那須高原南ヶ丘牧場,192959,154,5050.0
0,330,東京駅,新国立劇場,9176,27,0
0,331,東京駅,ふじてんスノーリゾート,122119,107,3270.0
0,332,東京駅,猿橋,93701,84,2630.0
0,333,東京駅,道の駅　雫石あねっこ,563348,404,8580.0
0,334,東京駅,美ヶ原高原美術館,244427,201,5350.0
0,335,東京駅,鳴子峡,437454,326,9310.0
0,336,東京駅,かんてんぱぱガーデン,233856,181,5750.0
0,337,東京駅,赤城神社,4930,19,0
0,338,東京駅,道の駅　つる,93298,83,2630.0
0,339,東京駅,道の駅　上品の郷,394144,297,9580.0
0,340,東京駅,地下鉄博物館,11129,36,0
0,341,東京駅,穂高神社,239392,183,5940.0
0,342,東京駅,竹駒神社,329179,250,7920.0
0,343,東京駅,軽井沢おもちゃ王国,195541,167,5670.0
0,344,東京駅,五大堂,363515,272,9120.0
0,345,東京駅,道の駅伊達の郷 りょうぜん,310987,227,7320.0
0,346,東京駅,道の駅　こぶちさわ,166889,126,4590.0
0,347,東京駅,大洗・日帰り天然温泉　太古の化石海水　潮騒の湯,123299,104,3810.0
0,348,東京駅,神奈川県立生命の星・地球博物館,85083,75,2650.0
0,349,東京駅,小峰城,205030,163,5400.0
0,350,東京駅,旧岩崎邸庭園,3720,14,0
0,351,東京駅,道の駅　かさま,108562,90,3410.0
0,352,東京駅,史跡足利学校,109014,99,3340.0
0,353,東京駅,江の島岩屋,59083,91,1570.0
0,354,東京駅,粟又の滝,82162,89,2070.0
0,355,東京駅,修善寺　虹の郷,149582,129,4100.0
0,356,東京駅,大洗マリンタワー,122046,103,3810.0
0,357,東京駅,道の駅 しもにた,138839,112,4510.0
0,358,東京駅,道の駅　川口・あんぎょう,28349,41,950.0
0,359,東京駅,天然自家源泉　星音の湯,110972,109,3650.0
0,360,東京駅,出羽三山神社三神合祭殿,477877,367,10050.0
0,361,東京駅,国営みちのく杜の湖畔公園,358715,257,8360.0
0,362,東京駅,道の駅　めぬま,94374,107,2360.0
0,363,東京駅,道の駅石神の丘,578836,412,8860.0
0,364,東京駅,町田リス園,40732,65,1120.0
0,365,東京駅,道の駅　遠野風の丘,554184,392,8300.0
0,366,東京駅,有栖川宮記念公園,5814,21,0
0,367,東京駅,伊香保グリーン牧場,143307,124,4470.0
0,368,東京駅,会津武家屋敷,302531,228,7260.0
0,369,東京駅,少林山達磨寺,134519,123,4190.0
0,370,東京駅,千秋公園,610427,437,9420.0
0,371,東京駅,日立市かみね動物園,145816,118,4360.0
0,372,東京駅,松が岬公園,325824,244,7170.0
0,373,東京駅,道の駅　いちごの里　よしみ,55667,87,1150.0
0,374,東京駅,甲斐善光寺,124526,115,3330.0
0,375,東京駅,草津熱帯圏,192487,183,4470.0
0,376,東京駅,県立相模原公園,47604,67,1410.0
0,377,東京駅,夢の島公園,8098,27,0
0,378,東京駅,白樺湖,202455,168,4840.0
0,379,東京駅,龍飛崎,779802,578,10820.0
0,380,東京駅,那須ステンドグラス美術館,190393,150,5050.0
0,381,東京駅,後楽園ホール,3630,14,0
0,382,東京駅,赤坂氷川神社,4164,15,0
0,383,東京駅,道の駅　安達（上り）,278826,211,6690.0
0,384,東京駅,ぐんまフラワーパーク,146092,131,4040.0
0,385,東京駅,六本木ヒルズ展望台　東京シティビュー,5099,17,0
0,386,東京駅,大杉神社,86926,83,2730.0
0,387,東京駅,つくばわんわんランド,86380,86,2470.0
